Movimiento,Jugador,Acción,Pieza,Pieza Index,Posición,Posición Index,Intento,Tablero
1,Human_bot,selected,"LITTLE, BLACK, SQUARE, WITH_HOLE",3,N/A,N/A,1,N/A
2,RandomBot,placed,N/A,N/A,"(1, 1)",5,1,0000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3,RandomBot,selected,"LITTLE, WHITE, SQUARE, WITH_HOLE",7,N/A,N/A,1,N/A
4,Human_bot,placed,N/A,N/A,"(2, 2)",10,1,0000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5,Human_bot,selected,"TALL, BLACK, SQUARE, WITHOUT_HOLE",10,N/A,N/A,1,N/A
6,RandomBot,placed,N/A,N/A,"(0, 0)",0,1,0000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7,RandomBot,selected,"LITTLE, BLACK, CIRCLE, WITH_HOLE",1,N/A,N/A,1,N/A
8,Human_bot,placed,N/A,N/A,"(1, 0)",4,1,0000000000000000000010000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9,Human_bot,selected,"TALL, WHITE, CIRCLE, WITHOUT_HOLE",12,N/A,N/A,1,N/A
10,RandomBot,placed,N/A,N/A,"(2, 0)",8,1,0000000000000000000010000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000100000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000
11,RandomBot,selected,"TALL, BLACK, CIRCLE, WITH_HOLE",9,N/A,N/A,1,N/A
12,Human_bot,placed,N/A,N/A,"(2, 1)",9,1,0000000000000000000010000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000001000000100000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000
13,Human_bot,selected,"LITTLE, BLACK, SQUARE, WITHOUT_HOLE",2,N/A,N/A,1,N/A
14,RandomBot,placed,N/A,N/A,"(1, 2)",6,1,0000000000000000000010000000000000000010000000000000010000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000001000000100000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000
15,RandomBot,selected,"LITTLE, BLACK, CIRCLE, WITHOUT_HOLE",0,N/A,N/A,1,N/A
16,Human_bot,placed,N/A,N/A,"(0, 3)",3,1,0001000000000000000010000000000000000010000000000000010000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000001000000100000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000
17,Human_bot,selected,"TALL, WHITE, SQUARE, WITH_HOLE",15,N/A,N/A,1,N/A
18,RandomBot,placed,N/A,N/A,"(3, 0)",12,1,0001000000000000000010000000000000000010000000000000010000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000001000000100000000000000000000000000000000000000010000000000000000000000000000000000000000000000000001000
19,RandomBot,selected,"LITTLE, WHITE, SQUARE, WITHOUT_HOLE",6,N/A,N/A,1,N/A
20,Human_bot,placed,N/A,N/A,"(3, 3)",15,1,0001000000000000000010000000000000000010000000000000010000000000000000000000000000000000000000000000000000000001000000000010000000000000000000000000000001000000100000000000000000000000000000000000000010000000000000000000000000000000000000000000000000001000

Ganador,Human_bot
